temperature,humidity
20.18,62.36
27,85.8
25.08,60.89
26.21,63.82
27.11,63.82
21.82,56.5
20.7,62.85
28.21,53.57
20.67,61.38
21.72,66.75
27.48,90.68
20.6,58.94
26.16,68.22
25.05,72.61
21.33,76.52
23.27,84.33
27.36,62.85
22.78,65.29
21.41,67.24
21.49,85.31
23.34,66.27
21.57,86.77
19.53,99.96
21.54,79.94
23.51,64.31
22.92,71.15
20.55,57.48
22.02,78.96
22.36,85.8
16.52,99.96
19.06,91.17
21.75,70.66
18.26,79.45
23.73,72.61
20.48,74.57
20.6,68.71
24.31,68.22
23.5,77.01
23.36,73.1
22.27,81.4
28.62,67.24
26.97,61.87
21.7,80.43
27.82,62.36
21.84,82.87
17.08,99.96
23.23,72.61
20.21,83.36
20.57,63.34
20.38,77.5
19.28,85.31
19.33,90.19
16.98,91.17
16.77,91.17
19.18,83.84
18.99,82.87
14.84,99.96
19.68,90.19
16.3,93.12
18.66,84.82
18.9,83.36
18.94,87.75
19.63,78.96
18.62,86.77
19.54,83.36
16.13,95.56
18.47,86.77
13.43,99.96
18.35,89.7
16.11,95.56
18.4,86.29
18.96,83.84
19.3,86.77
20.51,63.82
19.07,86.29
19.17,84.82
19.13,80.91
18.38,95.07
18.37,85.8
20.53,67.24
18.33,91.17
18.62,86.29
13.43,99.96
19.18,91.66
18.14,94.59
18.25,90.68
18.79,86.29
18.1,90.68
15.71,97.03
18.8,88.24
13.36,99.96
17.97,86.29
18.9,86.77
18.25,87.26
18.89,84.33
18.92,88.73
18.85,90.19
14.86,99.96
21.21,79.94
19.46,82.87
20.09,83.84
20.5,64.8
20.92,99.96
16.92,96.54
23.58,78.47
26.88,73.1
23.35,71.64
20.51,65.78
17.84,99.96
15.98,99.96
20.37,90.19
20.54,90.68
20.33,91.17
17.44,99.96
17.84,99.96
17.35,99.96
20.55,63.82
16.87,99.96
20.57,63.34
20.42,94.1
16.56,99.96
33.83,60.89
17.23,99.96
26.31,74.08
34.98,58.45
22.88,84.82
23.29,83.84
18.66,99.96
20.57,62.36
31.72,59.92
36.31,54.55
35.88,55.04
27.88,68.22
37.48,54.06
35.16,81.4
36.54,82.38
31.17,57.48
34.91,60.41
36.23,83.36
32.47,53.57
34.95,55.52
32.55,65.29
29.22,60.89
35.99,84.33
37.05,80.91
36.13,46.25
31.9,61.87
36.33,81.89
35.25,54.55
30.08,53.57
36.73,43.8
34.57,43.8
31.35,62.36
31.67,51.62
31.79,62.85
29.16,68.71
28.67,63.82
28.82,63.34
30.56,63.82
40.29,38.92
27.67,70.17
27.57,70.66
37.23,41.85
30.07,61.87
20.64,62.85
25.83,76.03
24.12,99.96
26.89,69.2
20.88,99.96
25.84,73.59
24.75,80.43
24.12,81.89
23.74,73.59
23.86,73.59
24.16,82.87
20.21,93.12
22.14,82.38
22.38,81.4
23.83,76.03
24.42,71.64
23.29,81.89
23.11,79.94
21.41,81.89
31.21,57.48
28.22,68.71
23.87,77.5
20.55,65.29
25.44,76.03
28.8,60.89
26.27,98
23.44,71.15
26.59,66.75
26.96,64.8
27.25,74.57
27.57,62.85
27.42,93.61
26.79,94.59
20.48,64.31
20.53,65.78
24.62,76.52
26.79,65.78
25.64,72.61
20.61,66.27
25.65,73.59
26.34,61.38
20.61,66.27
24.12,67.73
24.2,67.73
25.54,65.78
25.72,65.78
22.36,78.96
23.54,71.15
22.63,73.1
23.07,76.52
20.61,75.54
19.73,77.98
20.66,64.31
18.88,81.89
19.81,87.75
20.61,62.85
18.47,98
19.74,87.75
18.88,97.52
20.53,62.85
19.11,92.63
18.83,90.19
19.63,86.77
19.16,92.63
17.22,95.56
15.49,99.96
19.62,87.26
15.68,99.96
18.83,92.14
15.49,99.96
20.46,63.82
19.47,90.68
18.06,99.96
20.06,91.17
20.48,63.34
19.62,99.96
19.15,95.07
19.16,93.61
17.11,99.96
19.33,95.56
19.4,91.66
18.79,94.1
19.44,91.17
13.96,99.96
16.49,99.96
18.84,99.96
17.77,99.96
19.1,91.17
13.27,99.96
16.33,99.47
16.16,98.98
18.99,91.17
18.35,82.38
19.19,83.84
18.13,86.77
18.96,83.84
15.33,96.54
15.32,96.54
20.54,62.85
18.38,90.68
18.09,88.73
20.55,62.36
17.58,82.87
17.91,86.29
20.51,62.36
13.67,99.96
17.05,84.33
14.51,96.54
18.15,92.14
18.03,91.17
13.36,99.96
17.65,84.33
17.29,86.77
18.28,86.29
18.49,86.77
17.19,86.29
13.61,99.96
17.95,92.14
18.18,81.89
17.82,91.17
19.71,77.98
18.06,86.77
14.96,97.03
18.07,93.12
17.99,82.38
19.96,78.47
18.06,93.12
18.66,78.47
18.01,87.75
15.76,99.96
22.37,73.1
20.14,78.96
19.76,83.36
16.65,92.63
25.93,64.8
25.45,67.73
25.98,62.85
19.11,83.84
23.01,77.5
21.58,76.03
21.98,99.96
25.58,65.78
22.28,78.47
17.59,96.54
16.55,99.96
22.55,84.33
22.15,84.33
26.79,72.61
25.75,99.96
26.38,70.66
17.44,99.96
22.15,75.05
27.3,71.64
21.41,84.82
28.84,70.17
28.71,65.29
23.37,61.38
24.9,73.59
