Time,x,y,z
2025-03-03T11:35:51.287492,-0.06,-0.12,0.55
2025-03-03T11:35:51.689813,0.12,-0.18,0.61
2025-03-03T11:35:52.081795,-0.18,-0.18,0.49
2025-03-03T11:35:52.479000,0.67,-0.18,0.73
2025-03-03T11:35:52.901131,-0.31,-0.24,0.49
2025-03-03T11:35:53.317372,-0.12,-0.12,0.55
2025-03-03T11:35:53.731316,-0.43,-0.18,0.49
2025-03-03T11:35:54.152060,0.31,-0.18,0.67
2025-03-03T11:35:54.555249,0.12,-0.18,0.61
2025-03-03T11:35:54.916075,-0.12,-0.12,0.55
2025-03-03T11:35:55.292452,-0.06,-0.18,0.55
2025-03-03T11:35:55.684915,0.37,-0.12,0.67
2025-03-03T11:35:56.084848,-0.18,-0.18,0.55
2025-03-03T11:35:56.485426,0.18,-0.18,0.61
2025-03-03T11:35:56.885498,-0.18,-0.18,0.55
2025-03-03T11:35:57.278896,0.31,-0.12,0.61
2025-03-03T11:35:57.665032,0.06,-0.18,0.55
2025-03-03T11:35:58.056925,-0.43,-0.18,0.49
2025-03-03T11:35:58.443195,0.49,-0.18,0.67
2025-03-03T11:35:58.839778,0.12,-0.18,0.61
2025-03-03T11:35:59.213587,-0.06,-0.12,0.55
2025-03-03T11:35:59.581743,0.18,-0.12,0.67
2025-03-03T11:35:59.978160,-0.31,-0.18,0.55
2025-03-03T11:36:00.415582,0.43,-0.12,0.67
2025-03-03T11:36:00.809448,0.43,-0.12,0.67
2025-03-03T11:36:01.185982,-0.55,-0.18,0.43
2025-03-03T11:36:01.565655,4.7,-0.43,1.65
2025-03-03T11:36:01.944609,-0.98,-0.18,0.31
2025-03-03T11:36:02.305982,-0.18,-0.24,0.55
2025-03-03T11:36:02.706309,0.98,-0.18,0.79
2025-03-03T11:36:03.297956,-1.04,-0.18,0.37
2025-03-03T11:36:03.678316,0.31,-0.12,0.67
2025-03-03T11:36:04.056945,0.18,-0.12,0.67
2025-03-03T11:36:04.429604,-0.98,-0.18,0.43
2025-03-03T11:36:04.795979,-0.67,-0.12,0.43
2025-03-03T11:36:05.168637,-1.22,-0.18,0.31
2025-03-03T11:36:05.542040,-0.31,-0.18,0.49
2025-03-03T11:36:05.983724,1.22,-0.18,0.79
2025-03-03T11:36:06.368047,-0.24,-0.12,0.49
2025-03-03T11:36:06.793240,0.24,-0.12,0.67
2025-03-03T11:36:07.156228,-0.18,-0.12,0.55
2025-03-03T11:36:07.600104,0.85,-0.24,0.79
2025-03-03T11:36:07.991150,-0.31,-0.18,0.55
2025-03-03T11:36:08.366382,-0.12,-0.18,0.61
2025-03-03T11:36:08.770332,-0.12,-0.12,0.55
2025-03-03T11:36:09.194259,-0.43,-0.18,0.49
2025-03-03T11:36:09.589435,0.43,-0.24,0.67
2025-03-03T11:36:09.996079,-0.37,-0.12,0.49
2025-03-03T11:36:10.405648,0.61,-0.18,0.73
2025-03-03T11:36:10.796464,1.16,-0.12,0.79
2025-03-03T11:36:11.184649,-0.67,-0.18,0.43
2025-03-03T11:36:11.601041,0.0,-0.18,0.55
2025-03-03T11:36:11.975767,0.73,-0.12,0.73
2025-03-03T11:36:12.559369,-0.43,-0.12,0.49
2025-03-03T11:36:12.961640,-0.06,-0.18,0.55
2025-03-03T11:36:13.353504,0.55,-0.24,0.73
2025-03-03T11:36:14.105696,1.77,-0.18,0.98
2025-03-03T11:36:14.482129,0.61,-0.12,0.67
2025-03-03T11:36:14.853705,-0.98,-0.18,0.37
2025-03-03T11:36:15.226327,0.49,-0.18,0.67
2025-03-03T11:36:15.604323,0.55,-0.18,0.67
2025-03-03T11:36:15.977704,-0.43,-0.12,0.49
2025-03-03T11:36:16.380347,0.12,-0.18,0.61
2025-03-03T11:36:16.775568,0.12,-0.12,0.61
2025-03-03T11:36:17.159719,-0.55,-0.18,0.49
2025-03-03T11:36:17.535619,1.16,-0.18,0.85
2025-03-03T11:36:17.930523,0.43,-0.12,0.67
2025-03-03T11:36:18.324448,-1.77,-0.18,0.24
2025-03-03T11:36:18.883247,-0.31,-0.12,0.49
2025-03-03T11:36:19.253912,-1.53,-0.12,0.49
2025-03-03T11:36:19.616685,0.98,-0.18,0.79
2025-03-03T11:36:19.996472,-0.43,-0.18,0.49
2025-03-03T11:36:20.386817,0.49,-0.18,0.73
2025-03-03T11:36:20.777005,-0.31,-0.18,0.49
2025-03-03T11:36:21.150681,0.18,-0.18,0.61
2025-03-03T11:36:21.549197,0.24,-0.18,0.67
2025-03-03T11:36:21.945123,-0.24,-0.18,0.49
2025-03-03T11:36:22.326263,0.12,-0.06,0.61
2025-03-03T11:36:22.704015,0.12,-0.18,0.61
2025-03-03T11:36:23.139551,-0.55,-0.12,0.49
2025-03-03T11:36:23.611508,0.43,-0.18,0.67
2025-03-03T11:36:24.038050,-0.55,-0.18,0.49
2025-03-03T11:36:24.422319,0.18,-0.18,0.61
2025-03-03T11:36:24.815596,-0.43,-0.18,0.49
2025-03-03T11:36:25.181656,1.16,-0.18,0.79
2025-03-03T11:36:25.567174,-1.1,-2.2,-0.31
2025-03-03T11:36:26.026438,15.2,-0.31,0.85
2025-03-03T11:36:26.416642,1.28,-0.18,0.85
2025-03-03T11:36:26.774557,-1.83,-0.18,0.18
2025-03-03T11:36:27.144170,-0.06,-0.18,0.55
2025-03-03T11:36:27.524041,-0.06,-0.18,0.55
2025-03-03T11:36:27.897301,0.31,-0.18,0.67
2025-03-03T11:36:28.260596,-0.06,-0.18,0.55
2025-03-03T11:36:28.660427,0.12,-0.12,0.61
2025-03-03T11:36:29.025688,0.06,-0.18,0.61
2025-03-03T11:36:29.450856,-0.12,-0.18,0.55
2025-03-03T11:36:29.819771,0.24,-0.18,0.67
2025-03-03T11:36:30.201572,0.31,-0.18,0.67
2025-03-03T11:36:30.624671,-0.12,-0.18,0.55
2025-03-03T11:36:31.057590,2.62,-0.24,1.16
2025-03-03T11:36:31.440410,-0.18,-0.24,0.55
2025-03-03T11:36:31.827892,-1.34,-0.18,0.31
2025-03-03T11:36:32.223537,0.98,-0.12,0.79
2025-03-03T11:36:32.610695,-0.73,-0.18,0.43
2025-03-03T11:36:33.043643,-0.79,-0.12,0.37
2025-03-03T11:36:33.463837,2.26,-0.24,1.04
2025-03-03T11:36:33.951660,0.55,-0.18,0.55
2025-03-03T11:36:34.784405,-0.43,-0.12,0.49
2025-03-03T11:36:35.343948,-0.49,-0.18,0.49
2025-03-03T11:36:36.165232,0.18,-0.18,0.61
2025-03-03T11:36:37.088627,-0.37,-0.18,0.49
2025-03-03T11:36:37.548004,-0.61,-0.18,0.43
2025-03-03T11:36:37.990611,0.37,-0.18,0.61
2025-03-03T11:36:38.400893,-5.19,-0.67,-0.49
2025-03-03T11:36:38.925312,2.01,-0.31,1.04
2025-03-03T11:36:39.306344,0.18,-0.06,0.61
2025-03-03T11:36:39.752195,-0.55,-0.06,0.55
2025-03-03T11:36:40.229103,0.12,-0.12,0.55
2025-03-03T11:36:40.677219,-0.92,-0.18,0.37
2025-03-03T11:36:41.084794,1.53,-0.12,0.79
2025-03-03T11:36:41.629537,-0.73,-0.18,0.43
2025-03-03T11:36:43.052688,0.61,-0.12,0.67
2025-03-03T11:36:44.466015,0.43,-0.24,0.67
2025-03-03T11:36:45.109165,0.0,-0.18,0.49
2025-03-03T11:36:45.593639,0.12,-0.18,0.61
2025-03-03T11:36:46.159083,0.24,-0.12,0.67
2025-03-03T11:36:46.511755,-0.73,-0.31,0.37
2025-03-03T11:36:46.972777,0.49,-0.18,0.73
2025-03-03T11:36:47.354341,-0.73,-0.12,0.43
2025-03-03T11:36:47.752905,1.95,-0.12,0.98
2025-03-03T11:36:48.167316,-0.37,-0.31,0.43
2025-03-03T11:36:48.567043,4.7,0.98,1.4
2025-03-03T11:36:48.952731,-1.16,0.18,0.24
2025-03-03T11:36:49.352847,0.18,0.0,0.61
2025-03-03T11:36:49.753010,4.58,-0.12,1.59
2025-03-03T11:36:50.126362,0.12,-0.18,-15.01
2025-03-03T11:36:50.524480,0.18,-0.12,0.61
2025-03-03T11:36:50.904063,1.1,-0.12,0.79
2025-03-03T11:36:51.273923,-0.79,-0.12,0.43
2025-03-03T11:36:51.653841,0.67,-0.18,0.73
2025-03-03T11:36:52.203853,-0.67,-0.12,0.43
2025-03-03T11:36:52.566320,-0.43,-0.12,0.49
2025-03-03T11:36:52.952371,-0.31,-0.18,0.49
2025-03-03T11:36:53.319696,-0.67,-0.24,0.37
2025-03-03T11:36:53.915469,0.43,0.06,0.55
2025-03-03T11:36:54.627954,-2.08,-0.06,0.06
2025-03-03T11:36:55.018451,2.38,-0.24,1.1
2025-03-03T11:36:55.377203,4.52,0.06,0.49
2025-03-03T11:36:55.755479,-5.92,-0.31,-0.79
2025-03-03T11:36:56.154407,4.03,-0.06,1.4
2025-03-03T11:36:56.519843,-1.34,-0.18,0.31
2025-03-03T11:36:56.887422,0.49,-0.12,0.67
2025-03-03T11:36:57.282117,0.55,-0.18,0.73
2025-03-03T11:36:57.655619,-2.26,-0.24,0.31
2025-03-03T11:36:58.021873,3.17,0.0,1.22
2025-03-03T11:36:58.379437,-5.25,-0.31,-0.49
2025-03-03T11:36:58.753387,4.82,-0.06,1.59
2025-03-03T11:36:59.115962,-2.5,-0.24,0.06
2025-03-03T11:36:59.474188,0.0,0.0,0.61
2025-03-03T11:36:59.855432,1.77,-0.12,0.92
2025-03-03T11:37:00.222058,-0.85,-0.18,0.37
2025-03-03T11:37:00.817803,0.24,-0.12,0.67
